Make Whole,Clr 2, Transmutation/Earth/Water/Air/Fire, , , 1 standard action, , Close (25 ft. + 5 ft./2 levels), , , Repairs an object.
Ice Storm,Drd 4; Sor/Wiz 4; Water 5, Evocation/Fire/Earth, Cold, V S M/DF, 1 standard action, 1 full round, Long (400 ft. + 40 ft./level), None, Yes, Hail deals 5d6 damage in cylinder 40sft. across.
Consecrate,Clr 2, Evocation/Fire/Spirit, Good, V S M DF, 1 standard action, 2 hours/level, Close (25 ft. + 5 ft./2 levels), None, No, Fills area with positive energy;smakingsundead weaker.
Animate Rope,Brd 1; Sor/Wiz 1, Transmutation/Water/Fire/Earth, , V S, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), None, No, Makes a rope move at your command.
Telekinesis,Sor/Wiz 5, Transmutation/Water/Air/Fire/Earth/Spirit, , V S, 1 standard action, Concentration (up to 1 round/ level) or
      instantaneous; see text, Long (400 ft. + 40 ft./level), Will negates (object) or None; see text, Yes  (object); see text, Moves object; attacks creature; orshurlssobject or creature.
Contingency,Sor/Wiz 6, Evocation/Fire/Spirit, , V S M F, At least 10 minutes; see text, One day/level (D) or until discharged, Personal, , , Sets trigger condition for another spell.
Animate Dead,Adp 3; Clr 3; Death 3; Sor/Wiz 4, Necromancy/Void/Fire, Evil, V S M, 1 standard action, Instantaneous, Touch, None, No, Creates undead skeletons and zombies.
Flaming Sphere,Drd 2; Sor/Wiz 2, Evocation/Fire, Fire, V S M/DF, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), Reflex negates, Yes, Creates rolling ball of fire; 2d6sdamage;slasts 1 round/level.
Forcecage,Sor/Wiz 7, Evocation/Fire/Void/Air/Earth/Spirit, Force, V S M, 1 standard action, 2 hours/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Cube or cage of force imprisons all inside.
Dominate Person,Brd 4; Sor/Wiz 5, Enchantment/Air/Void/Fire/Earth/Spirit, Mind-Affecting, V S, 1 round, One day/level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Controls humanoid telepathically.
Reincarnate,Drd 4, Transmutation/Earth/Water/Void/Air/Fire/Spirit, , V S M DF, 10 minutes, Instantaneous, Touch, None; see text, Yes (harmless), Brings dead subject back in a random body.
Faerie Fire,Drd 1, Evocation/Fire/Void/Air/Spirit, Light, V S DF, 1 standard action, 1 min./level (D), Long (400 ft. + 40 ft./level), None, Yes, Outlines subjects with light;scancelingsblur; concealment; and the like.
Wall of Fire,Adp 4; Drd 5; Fire 4; Sor/Wiz 4, Evocation/Fire/Earth, Fire, V S M/DF, 1 standard action, Concentration + 1 round/level, Medium (100 ft. + 10 ft./level), None, Yes, Deals 2d4 fire damage out to 10 ft.sand 1d4sout to 20 ft. Passing through wall deals 2d6 damage +1/level.
Inflict Minor Wounds,Clr 0, Necromancy/Void/Fire, , , , , , Will negates, , Touch attack; 1 point of damage.
Blasphemy,Clr 7; Evil 7, Evocation/Fire/Air/Void, Evil; Sonic, V, 1 standard action, Instantaneous, 30 ft., None or Will negates; see text, Yes, Kills; paralyzes; weakens; or dazessnonevil subjects.
Minor Image,Brd 2; Sor/Wiz 2, Illusion/Air/Fire, , , , Concentration +2 rounds, , , , As silent image; plus some sound.
Reduce Person,Sor/Wiz 1, Transmutation/Fire/Water/Air/Earth/Spirit, , V S M, 1 round, 1 min./level (D), Close (25 ft. + 5 ft./2 levels), Fortitude negates, Yes, Humanoid creature halves in size.
Prismatic Spray,Sor/Wiz 7, Evocation/Fire/Earth/Water/Spirit, , V S, 1 standard action, Instantaneous, 60 ft., See text, Yes, Rays hit subjects with variety of effects.
Foresight,Drd 9; Knowledge 9; Sor/Wiz 9, Divination/Water/Air/Fire/Spirit, , V S M/DF, 1 standard action, 10 min./level, Personal or touch, None or Will negates (harmless), No or Yes (harmless), "Sixth sense" warns ofsimpending danger.
Unholy Aura,Clr 8; Evil 8, Abjuration/Earth/Void/Fire/Spirit, Evil, V S F, 1 standard action, 1 round/level (D), 20 ft., See text, Yes (harmless), +4 to AC; +4 resistance; SR 25 againstsgood spells.
Fire Seeds,Drd 6; Fire 6; Sun 6, Conjuration/Fire/Spirit/Earth, Fire, V S M, 1 standard action, 10 min./level or until used, Touch, None or Reflex half; see text, No, Acorns and berries become grenades and bombs.
Air Walk,Air 4; Clr 4; Drd 4, Transmutation/Water/Air/Fire/Spirit, Air, V S DF, 1 standard action, 10 min./level, Touch, None, Yes (harmless), Subject treads on air as if solids(climb ats45-degree angle).
Wall of Ice,Sor/Wiz 4, Evocation/Fire/Air/Earth/Water/Spirit, Cold, V S M, 1 standard action, 1 min./level, Medium (100 ft. + 10 ft./level), Reflex negates; see text, Yes, Ice plane creates wall with 15 hps+1/level;sor hemisphere can trap creatures inside.
Searing Light,Clr 3; Sun 3, Evocation/Fire/Earth, , V S, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), None, Yes, Ray deals 1d8/two levels; more against undead.
Baleful Polymorph,Adp 5; Drd 5; Sor/Wiz 5, Transmutation/Water/Air/Fire/Spirit, , V S, 1 standard action, Permanent, Close (25 ft. + 5 ft./2 levels), Fortitude negates Will partial; see text, Yes, Transforms subject into harmless animal.
Permanency,Sor/Wiz 5, Universal/Fire/Void/Air/Water/Spirit, , V S XP, 2 rounds, Permanent; see text, See text, None, No, Makes certain spells permanent.
Stoneskin,Adp 4; Drd 5; Earth 6; Sor/Wiz 4; Strength 6, Abjuration/Earth/Fire, , V S M, 1 standard action, 10 min./level or until discharged, Touch, Will negates (harmless), Yes (harmless), Ignore 10 points of damage per attack.
Geas  Lesser,Brd 3; Sor/Wiz 4, Enchantment/Air/Void/Fire/Spirit, Language-Dependent; Mind-Affecting, V, 1 round, One day/level or until discharged (D), Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Commands subject of 7 HD or less.
Blade Barrier,Clr 6; Good 6; War 6, Evocation/Fire/Void, Force, V S, 1 standard action, 1 min./level (D), Medium (100 ft. + 10 ft./level), Reflex half or Reflex negates; see text, Yes, Wall of blades deals 1d6/level damage.
Fly,Sor/Wiz 3; Travel 3, Transmutation/Water/Fire/Spirit, , V S F/DF, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes (harmless), Subject flies at speed of 60 ft.
Spell Turning,Luck 7; Magic 7; Sor/Wiz 7, Abjuration/Earth/Fire/Spirit, , V S M/DF, 1 standard action, Until expended or 10 min./level, Personal, , , Reflect 1d4+6 spell levels back at caster.
Charm Person,Brd 1; Sor/Wiz 1, Enchantment/Air/Fire/Spirit, Mind-Affecting, V S, 1 standard action, 1 hour/level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Makes one person your friend.
Iron Body,Earth 8; Sor/Wiz 8, Transmutation/Fire/Water/Air/Earth/Spirit, , V S M/DF, 1 standard action, 1 min./level (D), Personal, , , Your body becomes living iron.
Dream,Brd 5; Sor/Wiz 5, Illusion/Air/Fire/Spirit, Mind-Affecting, V S, 1 minute, See text, Unlimited, None, Yes, Sends message to anyone sleeping.
Call Lightning Storm,Drd 5, Evocation/Fire, Electricity, , , , Long (400 ft. + 40 ft./level), , , As call lightning; but 5d6 damage per bolt.
Heal Mount,Pal 3, Conjuration/Spirit/Fire, , V S, 1 standard action, Instantaneous, Touch, Will negates (harmless), Yes (harmless), As heal on warhorse or other special mount.
Astral Projection,Clr 9; Sor/Wiz 9; Travel 9, Necromancy/Spirit/Void/Air/Fire, , V S M, 30 minutes, See text, Touch, None, Yes, Projects you and companions ontosAstral Plane.
Sympathetic Vibration,Brd 6, Evocation/Fire/Earth/Air, Sonic, V S F, 10 minutes, Up to 1 round/level, Touch, None; see text, Yes, Deals 2d10 damage/round tosfreestanding structure.
Shield Other,Clr 2; Pal 2; Protection 2, Abjuration/Earth/Void/Fire/Water/Spirit, , V S F, 1 standard action, 1 hour/level (D), Close (25 ft. + 5 ft./2 levels), Will negates (harmless), Yes (harmless), You take half of subject's damage.
Burning Hands,Adp 1; Fire 1; Sor/Wiz 1, Evocation/Fire, Fire, V S, 1 standard action, Instantaneous, 15 ft., Reflex half, Yes, 1d4/level fire damage (max 5d4).
Erase,Brd 1; Sor/Wiz 1, Transmutation/Water/Air/Fire/Spirit, , V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), See text, No, Mundane or magical writing vanishes.
Mage's Magnificent Mansion,Sor/Wiz 7, Conjuration/Spirit/Air/Fire, , V S F, 1 standard action, 2 hours/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Door leads to extradimensional mansion.
Inflict Serious Wounds  Mass,Clr 7, Necromancy/Void/Fire, , , , , , , , Deals 3d8 damage +1/level to many creatures.
Inflict Serious Wounds,Blk 3; Clr 3, Necromancy/Void/Fire, , , , , , , , Touch attack; 3d8 damage +1/level (max +15).
Warp Wood,Drd 2, Transmutation/Water/Air/Fire/Earth/Spirit, , V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Bends wood (shaft; handle; door; plank).
Hallow,Clr 5; Drd 5, Evocation/Fire/Void/Air/Earth/Spirit, Good, V S M DF, 24 hours, Instantaneous, Touch, See text, See text, Designates location as holy.
Polar Ray,Sor/Wiz 8, Evocation/Fire/Air, Cold, V S F, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, Yes, Ranged touch attack deals 1d6/levelscold damage.
Holy Aura,Clr 8; Good 8, Abjuration/Earth/Void/Fire/Spirit, Good, V S F, 1 standard action, 1 round/level (D), 20 ft., See text, Yes (harmless), +4 to AC; +4 resistance; and SR 25sagainstsevil spells.
Shadow Evocation  Greater,Sor/Wiz 8, Illusion/Air/Fire/Spirit, , , , , , , , As shadow evocation; but up to 7thslevel ands60% real.
Enthrall,Brd 2; Clr 2, Enchantment/Air/Fire/Spirit, , V S, 1 round, 1 hour or less, Medium (100 ft. + 10 ft./level), Will negates; see text, Yes, Captivates all within 100 ft. + 10 ft./level.
Shadow Evocation,Brd 5; Sor/Wiz 5, Illusion/Air/Fire/Spirit, , V S, 1 standard action, See text, See text, Will disbelief (if interacted with), Yes, Mimics evocation below 5th level; butsonlys20% real.
Inflict Moderate Wounds  Mass,Clr 6, Necromancy/Void/Fire, , , , , , , , Deals 2d8 damage +1/level to many creatures.
Dictum,Clr 7; Law 7, Evocation/Fire/Air, Lawful; Sonic, V, 1 standard action, Instantaneous, 40 ft., None or Will negates; see text, Yes, Kills; paralyzes; slows; or deafenssnonlawful subjects.
Inflict Moderate Wounds,Blk 2; Clr 2, Necromancy/Void/Fire, , , , , , , , Touch attack; 2d8 damage +1/level (max +10).
Planar Ally  Lesser,Clr 4, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S DF XP, 10 minutes, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, No, Exchange services with a 6 HDsextraplanar creature.
Alarm,Brd 1; Rgr 1; Sor/Wiz 1, Abjuration/Earth/Fire, , V S F/DF, 1 standard action, 2 hours/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Wards an area for 2 hours/level.
Shambler,Drd 9; Plant 9, Conjuration/Fire/Spirit, , V S, 1 standard action, Seven days or seven months (D); see text, Medium (100 ft. + 10 ft./level), None, No, Summons 1d4+2 shambling mounds tosfight for you.
Control Winds,Air 5; Drd 5, Transmutation/Water/Air/Fire/Earth, Air, V S, 1 standard action, 10 min./level, 40 ft./level, Fortitude negates, No, Change wind direction and speed.
Sanctuary,Clr 1; Protection 1, Abjuration/Earth/Fire/Spirit, , V S DF, 1 standard action, 1 round/level, Touch, Will negates, No, Opponents can't attack you; and youscan't attack.
Hold Person,Brd 2; Clr 2; Sor/Wiz 3, Enchantment/Air/Fire/Spirit, Mind-Affecting, V S F/DF, 1 standard action, 1 round/level (D); see text, Medium (100 ft. + 10 ft./level), Will negates; see text, Yes, Paralyzes one humanoid for 1 round/level.
Delayed Blast Fireball,Sor/Wiz 7, Evocation/Fire/Earth, Fire, , , 5 rounds or less; see text, , , , 1d6/level fire damage; you canspostponesblast for 5 rounds.
Enlarge Person,Sor/Wiz 1; Strength 1, Transmutation/Fire/Water/Air/Earth/Spirit, , V S M, 1 round, 1 min./level (D), Close (25 ft. + 5 ft./2 levels), Fortitude negates, Yes, Humanoid creature doubles in size.
Wind Wall,Air 2; Clr 3; Drd 3; Rgr 2; Sor/Wiz 3, Evocation/Fire/Air/Earth, Air, V S M/DF, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), None; see text, Yes, Deflects arrows; smaller creatures;sand gases.
Summon Swarm,Brd 2; Drd 2; Sor/Wiz 2, Conjuration/Spirit/Void/Fire, , V S M/DF, 1 round, Concentration + 2 rounds, Close (25 ft. + 5 ft./2 levels), None, No, Summons swarm of bats; rats; or spiders.
Protection from Energy,Blk 3; Clr 3; Drd 3; Luck 3; Protection 3; Rgr 2;      Sor/Wiz 3, Abjuration/Fire/Earth/Air, , V S DF, 1 standard action, 10 min./level or until discharged, Touch, Fortitude negates (harmless), Yes (harmless), Absorb 12 points/level of damage fromsoneskind of energy.
Giant Vermin,Clr 4; Drd 4, Transmutation/Water/Fire, , V S DF, 1 standard action, 1 min./level, Close (25 ft. + 5 ft./2 levels), None, Yes, Turns centipedes; scorpions; orsspiders intosgiant vermin.
Elemental Swarm,Air 9; Drd 9; Earth 9; Fire 9; Water 9, Conjuration/Fire/Earth/Water/Spirit/Air, , V S, 10 minutes, 10 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Summons multiple elementals.
Summon Monster IX,Chaos 9; Clr 9; Evil 9; Good 9; Law 9; Sor/Wiz 9, Conjuration/Fire/Water/Spirit/Void/Air, , , , , , , , Calls extraplanar creature to fightsfor you.
Resilient Sphere,Sor/Wiz 4, Evocation/Fire/Spirit, Force, V S M, 1 standard action, 1 min./level (D), Close (25 ft. + 5 ft./2 levels), Reflex negates, Yes, Force globe protects but traps one subject.
Nightmare,Brd 5; Sor/Wiz 5, Illusion/Air/Void/Fire/Water/Spirit, Mind-Affecting; Evil, V S, 10 minutes, Instantaneous, Unlimited, Will negates; see text, Yes, Sends vision dealing 1d10 damage; fatigue.
Explosive Runes,Sor/Wiz 3, Abjuration/Earth/Fire/Spirit, Force, V S, 1 standard action, Permanent until discharged (D), Touch, See text, Yes, Deals 6d6 damage when read.
Cone of Cold,Sor/Wiz 5; Water 6, Evocation/Fire, Cold, V S M/DF, 1 standard action, Instantaneous, 60 ft., Reflex half, Yes, 1d6/level cold damage.
Sleet Storm,Drd 3; Sor/Wiz 3, Conjuration/Fire/Spirit, Cold, V S M/DF, 1 standard action, 1 round/level, Long (400 ft. + 40 ft./level), None, No, Hampers vision and movement.
Summon Nature's Ally V,Drd 5, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Protection from Evil,Adp 1; Clr 1; Good 1; Pal 1; Sor/Wiz 1, Abjuration/Air/Earth/Void/Fire/Spirit, Good, V S M/DF, 1 standard action, 1 min./level (D), Touch, Will negates (harmless), No; see text, +2 to AC and saves; counter mindscontrol;shedge out elementals and outsiders.
Hide from Undead,Clr 1, Abjuration/Earth/Fire/Spirit, , V S DF, 1 standard action, 10 min./level (D), Touch, Will negates (harmless); see text, Yes, Undead can't perceive one subject/level.
Mending,Adp 0; Brd 0; Clr 0; Drd 0; Sor/Wiz 0, Transmutation/Earth/Water/Air/Fire, , V S, 1 standard action, Instantaneous, 10 ft., Will negates (harmless object), Yes (harmless object), Makes minor repairs on an object.
Control Plants,Drd 8; Plant 8, Transmutation/Water/Fire/Earth, , V S DF, 1 standard action, 1 min./level, Close (25 ft. + 5 ft./2 levels), Will negates, No, Control actions of one or more plant creatures.
Mage's Private Sanctum,Sor/Wiz 5, Abjuration/Earth/Fire/Water/Spirit, , V S M, 10 minutes, 24 hours (D), Close (25 ft. + 5 ft./2 levels), None, No, Prevents anyone from viewing orsscrying ansarea for 24 hours.
Fire Shield,Fire 5; Sor/Wiz 4; Sun 4, Evocation/Fire/Earth, , V S M/DF, 1 standard action, 1 round/level (D), Personal, , , Creatures attacking you take firesdamage;syou're protected from heat or cold.
Death Ward,Clr 4; Death 4; Drd 5; Pal 4, Necromancy/Void/Fire, , V S DF, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes (harmless), Grants immunity to death spells andsnegativesenergy effects.
Find the Path,Brd 6; Clr 6; Drd 6; Knowledge 6; Travel 6, Divination/Water/Fire/Spirit, , V S F, 3 rounds, 10 min./level, Personal or touch, None or Will negates (harmless), No or Yes (harmless), Shows most direct way to a location.
Sunbeam,Drd 7; Sun 7, Evocation/Fire/Spirit, Light, V S DF, 1 standard action, 1 round/level or until all beams are exhausted, 60 ft., Reflex negates and Reflex half; see text, Yes, Beam blinds and deals 4d6 damage.
Magic Jar,Sor/Wiz 5, Necromancy/Void/Air/Fire/Earth/Water/Spirit, , V S F, 1 standard action, 1 hour/level or until you return to your body, Medium (100 ft. + 10 ft./level), Will negates; see text, Yes, Enables possession of another creature.
Summon Nature's Ally VIII,Animal 8; Drd 8, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Summon Nature's Ally IX,Drd 9, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Shield of Law,Clr 8; Law 8, Abjuration/Earth/Void/Fire/Spirit, Lawful, V S F, 1 standard action, 1 round/level (D), 20 ft., See text, Yes (harmless), +4 to AC; +4 resistance; and SR 25sagainstschaotic spells.
Zone of Truth,Clr 2; Pal 2, Enchantment/Air/Void/Fire/Spirit, Mind-Affecting, V S DF, 1 standard action, 1 min./level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Subjects within range cannot lie.
Incendiary Cloud,Fire 8; Sor/Wiz 8, Conjuration/Fire/Water/Spirit, Fire, V S, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), Reflex half; see text, No, Cloud deals 4d6 fire damage/round.
Command Plants,Drd 4; Plant 4; Rgr 3, Transmutation/Water/Fire/Earth, , V, 1 standard action, One day/level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Sway the actions of one or more plant creatures.
Flame Arrow,Sor/Wiz 3, Transmutation/Fire/Water/Earth, Fire, V S M, 1 standard action, 10 min./level, Close (25 ft. + 5 ft./2 levels), None, No, Arrows deal +1d6 fire damage.
Glyph of Warding  Greater,Clr 6, Abjuration/Earth/Fire, , , , , , , , As glyph of warding; but up to 10d8sdamagesor 6th-level spell.
Heroism  Greater,Brd 5; Sor/Wiz 6, Enchantment/Air/Fire, Mind-Affecting, , , 1 min./level, , , , Gives +4 bonus on attack rolls; saves;sskillschecks; immunity to fear; temporary hp.
Whirlwind,Air 8; Drd 8, Evocation/Fire/Water/Air, Air, V S DF, 1 standard action, 1 round/level (D), Long (400 ft. + 40 ft./level), Reflex negates; see text, Yes, Cyclone deals damage and can pick up creatures.
Symbol of Persuasion,Clr 6; Sor/Wiz 6, Enchantment/Air/Void/Fire, Mind-Affecting, , , , , Will negates, , Triggered rune charms nearby creatures.
Heat Metal,Drd 2; Sun 2, Transmutation/Fire/Water/Air/Earth/Spirit, Fire, V S DF, 1 standard action, 7 rounds, Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Make metal so hot it damages those whostouch it.
Light,Adp 0; Brd 0; Clr 0; Drd 0; Sor/Wiz 0, Evocation/Fire/Void/Spirit, Light, V M/DF, 1 standard action, 10 min./level (D), Touch, None, No, Object shines like a torch.
Produce Flame,Drd 1; Fire 2, Evocation/Fire/Water/Earth, Fire, V S, 1 standard action, 1 min./level (D), 0 ft., None, Yes, 1d6 damage +1/level; touch or thrown.
Meteor Swarm,Sor/Wiz 9, Evocation/Fire/Spirit, Fire, V S, 1 standard action, Instantaneous, Long (400 ft. + 40 ft./level), None or Reflex half; see text, Yes, Four exploding spheres each deal 6d6sfire damage.
Summon Nature's Ally III,Drd 3; Rgr 3, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls animal to fight for you.
Symbol of Death,Clr 8; Sor/Wiz 8, Necromancy/Void/Fire/Earth/Spirit, Death, V S M, 10 minutes, See text, 0 ft.; see text, Fortitude negates, Yes, Triggered rune slays nearby creatures.
Hypnotism,Brd 1; Sor/Wiz 1, Enchantment/Air/Fire, Mind-Affecting, V S, 1 round, 2d4 rounds (D), Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Fascinates 2d4 HD of creatures.
Crushing Hand,Sor/Wiz 9; Strength 9, Evocation/Fire/Air/Earth/Water, Force, V S M F/DF, , , , , , Large hand provides cover; pushes; orscrushes your foes.
Magic Missile,Sor/Wiz 1, Evocation/Fire, Force, V S, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), None, Yes, 1d4+1 damage; +1 missile per twoslevelssabove 1st (max 5).
Nondetection,Asn 3; Rgr 4; Sor/Wiz 3; Trickery 3, Abjuration/Earth/Water/Air/Fire, , V S M, 1 standard action, 1 hour/level, Touch, Will negates (harmless object), Yes (harmless object), Hides subject from divination; scrying.
Creeping Doom,Drd 7, Conjuration/Spirit/Fire, , V S, 1 round, 1 min./level, Close (25 ft. + 5 ft./2 levels)/ 100 ft.; see text, None, No, Swarms of centipedes attack at your command.
Interposing Hand,Sor/Wiz 5, Evocation/Fire/Void/Air/Spirit, Force, V S F, 1 standard action, 1 round/level (D), Medium (100 ft. + 10 ft./level), None, Yes, Hand provides cover against one opponent.
Ironwood,Drd 6, Transmutation/Fire/Water/Earth/Spirit, , V S M, 1 minute/lb. created, One day/level (D), 0 ft., None, No, Magic wood is strong as steel.
Sending,Clr 4; Sor/Wiz 5, Evocation/Fire/Water, , V S M/DF, 10 minutes, 1 round; see text, See text, None, No, Delivers short message anywhere; instantly.
Polymorph,Adp 4; Sor/Wiz 4, Transmutation/Water/Spirit/Air/Fire/Earth, , V S M, 1 standard action, 1 min./level (D), Touch, None, No, Gives one willing subject a new form.
Wall of Force,Sor/Wiz 5, Evocation/Fire/Air/Earth/Spirit/Void, Force, V S M, 1 standard action, 1 round /level (D), Close (25 ft. + 5 ft./2 levels), None, No, Wall is immune to damage.
Shout  Greater,Brd 6; Sor/Wiz 8, Evocation/Fire/Air/Earth, Sonic, V S F, , , 60 ft., Fortitude partial or Reflex negates       (object); see text, , Devastating yell deals 10d6 sonicsdamage;sstuns creatures; damages objects.
Scorching Ray,Adp 2; Sor/Wiz 2, Evocation/Fire, Fire, V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, Yes, Ranged touch attack deals 4d6 firesdamage;s+1 ray/four levels (max 3).
Detect Scrying,Brd 4; Sor/Wiz 4, Divination/Water/Fire, , V S M, 1 standard action, 24 hours, 40 ft., None, No, Alerts you of magical eavesdropping.
Comprehend Languages,Adp 1; Brd 1; Clr 1; Sor/Wiz 1, Divination/Water/Fire, , V S M/DF, 1 standard action, 10 min./level, Personal, , , You understand all spoken and written languages.
Grasping Hand,Sor/Wiz 7; Strength 7, Evocation/Fire/Air/Earth/Water, Force, V S F/DF, , , , , , Hand provides cover; pushes; or grapples.
Miracle,Clr 9; Luck 9, Evocation/Fire/Earth/Spirit, , V S XP; see text, 1 standard action, See text, See text, See text, Yes, Requests a deity's intercession.
Divine Power,Clr 4; War 4, Evocation/Fire/Earth, , V S DF, 1 standard action, 1 round/level, Personal, , , You gain attack bonus; +6 to Str; ands1 hp/level.
Touch of Idiocy,Sor/Wiz 2, Enchantment/Air/Fire/Water, Mind-Affecting, V S, 1 standard action, 10 min./level, Touch, No, Yes, Subject takes 1d6 points of Int; Wis;sandsCha damage.
Helping Hand,Clr 3, Evocation/Fire/Void/Air, , V S DF, 1 standard action, 1 hour/level, 5 miles, None, No, Ghostly hand leads subject to you.
Polymorph Any Object,Sor/Wiz 8; Trickery 8, Transmutation/Water/Void/Air/Fire/Earth/Spirit, , V S M/DF, 1 standard action, See text, Close (25 ft. + 5 ft./2 levels), Fortitude negates (object); see text, Yes (object), Changes any subject into anything else.
Inflict Critical Wounds  Mass,Clr 8, Necromancy/Void/Fire, , , , , , , , Deals 4d8 damage +1/level to many creatures.
Water Walk,Clr 3; Rgr 3, Transmutation/Water/Fire/Spirit, Water, V S DF, 1 standard action, 10 min./level (D), Touch, Will negates (harmless), Yes (harmless), Subject treads on water as if solid.
Tiny Hut,Brd 3; Sor/Wiz 3, Evocation/Fire/Earth, Force, V S M, 1 standard action, 2 hours/level (D), 20 ft., None, No, Creates shelter for ten creatures.
Unholy Blight,Evil 4, Evocation/Fire/Void/Spirit, Evil, V S, 1 standard action, Instantaneous (1d4 rounds); see text, Medium (100 ft. + 10 ft./level), Will partial, Yes, Damages and sickens good creatures.
Binding,Sor/Wiz 8, Enchantment/Air/Fire/Spirit, Mind-Affecting, V S M, One minute, See text (D), Close (25 ft. + 5 ft./2 levels), Will negates; see text, Yes, Utilizes an array of techniques tosimprisonsa creature.
Transmute Rock to Mud,Drd 5; Sor/Wiz 5, Transmutation/Fire/Water/Earth/Spirit, Earth, V S M/DF, 1 standard action, Permanent; see text, Medium (100 ft. + 10 ft./level), See text, No, Transforms two 10-ft. cubes per level.
Symbol of Pain,Clr 5; Sor/Wiz 5, Necromancy/Void/Fire, Evil, , , , , , , Triggered rune wracks nearby creaturesswith pain.
Word of Chaos,Chaos 7; Clr 7, Evocation/Air/Fire/Void, Chaotic; Sonic, V, 1 standard action, Instantaneous, 40 ft., None or Will negates; see text, Yes, Kills; confuses; stuns; or deafenssnonchaotic subjects.
Prismatic Wall,Sor/Wiz 8, Abjuration/Fire/Earth/Water/Spirit, , V S, 1 standard action, 10 min./level (D), Close (25 ft. + 5 ft./2 levels), See text, See text, Wall's colors have array of effects.
Summon Nature's Ally IV,Animal 4; Drd 4; Rgr 4, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls animal to fight for you.
Sound Burst,Brd 2; Clr 2, Evocation/Fire/Void/Air, Sonic, V S F/DF, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Fortitude partial, Yes, Deals 1d8 sonic damage to subjects;smay stun them.
Repulsion,Clr 7; Protection 7; Sor/Wiz 6, Abjuration/Earth/Air/Fire, , V S F/DF, 1 standard action, 1 round/level (D), Up to 10 ft./level, Will negates, Yes, Creatures can't approach you.
Feeblemind,Sor/Wiz 5, Enchantment/Air/Fire/Water, Mind-Affecting, V S M, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), Will negates; see text, Yes, Subject's Int and Cha drop to 1.
Spell Immunity,Clr 4; Protection 4; Strength 4, Abjuration/Earth/Fire/Spirit, , V S DF, 1 standard action, 10 min./level, Touch, Will negates (harmless), Yes (harmless), Subject is immune to one spell persfour levels.
Holy Word,Clr 7; Good 7, Evocation/Fire/Air/Spirit, Good; Sonic, V, 1 standard action, Instantaneous, 40 ft., None or Will negates; see text, Yes, Kills; paralyzes; slows; or deafenssnongood subjects.
Speak with Plants,Brd 4; Drd 3; Rgr 2, Divination/Water/Fire/Earth, , V S, 1 standard action, 1 min./level, Personal, , , You can talk to normal plants andsplant creatures.
Sepia Snake Sigil,Brd 3; Sor/Wiz 3, Conjuration/Spirit/Fire/Earth, Force, V S M, 10 minutes, Permanent or until discharged; until released or       1d4
      days + one day/level; see text, Touch, Reflex negates, No, Creates text symbol that immobilizes reader.
Status,Clr 2, Divination/Water/Fire/Spirit, , V S, 1 standard action, 1 hour/level, Touch, Will negates (harmless), Yes (harmless), Monitors condition; position of allies.
Wall of Thorns,Drd 5; Plant 5, Conjuration/Fire/Spirit/Void/Air/Earth, , V S, 1 standard action, 10 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Thorns damage anyone who tries to pass.
